name,category,rating,address,subtypes,type
Sate Ayam Podomoro,restoran sate,4.5,"Mataram St No.11, Suryatmajan, Danurejan, Yogyakarta City, Special Region of Yogyakarta 55213",Satay restaurant,kuliner
Sate Ratu,restoran sate,4.6,"Jl. Sidomukti, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281","Satay restaurant, Restaurant",kuliner
Kedai Rukun Local Cuisine & Brew,restoran jawa,4.8,"Gg. Darussalam, Kadipiro, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184","Javanese restaurant, Restaurant",kuliner
Gudeg Yu Djum Wijilan 31,restoran jawa,4.5,"Jl. Wijilan No.31, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Javanese restaurant, Restaurant",kuliner
Omah Pari Sewu,toko makanan sehat,3.7,"7C4X+728, Bromonilan RT.008/RW.003, Bromonilan, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Health food store, Grocery store",kuliner
Warung Bakmi Ketandan (Bakmi nCek Dhiam),restaurants,4.5,"Jl. Bhayangkara No.17, Ngupasan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261","Noodle shop, Chinese restaurant, Diner",kuliner
Lalawuh Sunda,restoran sunda,4.2,"Jl. Tambak, Kembang, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",Sundanese restaurant,kuliner
De MANGOL VIEW,attractions,4.5,"Jl. Raya Patuk Ngoro-Ngoro KM.1.4, Sumber Tetes, Patuk, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862","Restaurant, Park, Picnic ground, Recreation center",kuliner
Warung Makan Prigel Asih,restaurants,4.1,"Jl. A.M. Sangaji No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",Family restaurant,kuliner
Rumah Makan Padang Murah,restoran padang,4.4,"694F+P8W, Jl. Hayam Wuruk, Bausasran, Kec. Danurejan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55212","Padang restaurant, Buffet restaurant, Diner",kuliner
