name,category,rating,address,subtypes,type,price_estimate
Taman Budaya Yogyakarta,pusat kebudayaan,4.6,"Jl. Sriwedani No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Cultural center, Concert hall, Event venue",wisata,50000
Vredeburg Fort Museum,museums,4.7,"Jl. Margo Mulyo No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Fortress, Natural history museum, History museum",wisata,40000
Situs Pesanggrahan Rejawinangun,attractions,4.4,"Jl. Veteran No.77, Warungboto, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55164","Tourist attraction, Historical landmark",wisata,40000
Taman Sari Tourist Village,attractions,4.6,"Patehan, Kraton, Yogyakarta City, Special Region of Yogyakarta 55133","Tourist attraction, Historical landmark",wisata,40000
Bentara Budaya Yogyakarta (BBY),attractions,4.6,"Jl. Suroto No.2, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224","Tourist attraction, Art center",wisata,40000
Museum Sonobudoyo Unit I,museums,4.8,"Jl. Pangurakan No.6, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Heritage museum, Museum, Art museum",wisata,40000
Keraton Ngayogyakarta Hadiningrat,attractions,4.7,"Jl. Rotowijayan No.1, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131","Tourist attraction, Historical landmark",wisata,40000
Jogja Culture Show,attractions,5.0,"Jl. Tegalturi No.43, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163",Tourist attraction,wisata,40000
Embung Giwangan Culture Park,taman hiburan,4.6,"Jl. Tegalturi No.43, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163","Cultural center, Theme park",wisata,50000
Museum Wahanarata,museums,4.7,"Jl. Rotowijayan, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132","Tourist attraction, History museum",wisata,40000
Taman Pintar Yogyakarta,museums,4.5,"Jl. Panembahan Senopati No.1-3, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Education center, Playground, Recreation center, Science museum",wisata,40000
Keraton Ratu Boko,attractions,4.7,"Jl. Ratu Boko No.2, Gatak, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Tourist attraction,wisata,40000
Prambanan Temple,attractions,4.7,"Jl. Raya Solo - Yogyakarta, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Tourist attraction, Historical landmark, Hindu temple",wisata,40000
Titik Nol Kilometer Yogyakarta,attractions,4.8,"Jl. Pangurakan No.1, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122","Tourist attraction, Recreation center",wisata,40000
"Oud Kotagêdé , Tjepoeri - Ruïnes van het Koninklijke Fort Mataram",attractions,4.5,"599X+FHC, Jl. Masjid Besar, Purbayan, Kec. Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55192","Tourist attraction, Historical landmark",wisata,40000
Taman Budaya ꧋ꦠꦩꦤ꧀ꦧꦸꦣꦪ,attractions,4.7,"59X9+X2R, Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122",Park,wisata,50000
Gereja Sayidan,attractions,4.3,"59W9+HWP, Prawirodirjan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55131","Tourist attraction, Historical landmark",wisata,40000
Ramayana Ballet Purawisata,attractions,4.6,"Jl. Brigjen Katamso Jl. Ireda, Keparakan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55152","Tourist attraction, Cultural center, Family restaurant, Indonesian restaurant, Recreation center, Amphitheater, Western restaurant",wisata,50000
Tourism Village Pandeyan,attractions,4.7,"59PP+6F3, Jl. Pandeyan, Pandeyan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",Tourist attraction,wisata,40000
Plengkung Gading,attractions,4.6,"Jl. Patehan Kidul No.4, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55133","Tourist attraction, Historical place",wisata,40000
Pok Tunggal Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000
Wediombo Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000
Pantai Jogan,unknown,4.3,"Jl. Pantai Siung, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Beach,wisata,50000
Pantai Nglambor,unknown,4.5,"Pantai, Purwodadi, Tepus, Gunungkidul Regency, Special Region of Yogyakarta",Beach,wisata,50000
Glagah Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000
Goa Cemara Beach,attractions,4.4,"Jl. Rajiman, Patihan, Gadingsari, Kec. Sanden, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55763","Tourist attraction, Park",wisata,40000
Kuwaru Beach,attractions,4.1,"Kawaru, Poncosari, Srandakan, Bantul Regency, Special Region of Yogyakarta 55762","Tourist attraction, Public beach",wisata,40000
Ngrenean Beach,unknown,4.5,Special Region of Yogyakarta,Beach,wisata,50000
Pantai Slili,unknown,4.5,"Jl. Pantai Krakal, Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Beach,wisata,50000
Trisik Beach,unknown,4.1,Special Region of Yogyakarta,Beach,wisata,50000
Pantai Cemara Sewu Bantul Yogyakarta,unknown,4.4,"Jl. Pantai Parangkusumo, Pantai, Parangtritis, Kec. Kretek, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55772",Beach,wisata,50000
Pantai Ngetun,unknown,4.6,"Sureng, Purwodadi, Tepus, Pantai, Purwodadi, Kec. Tepus, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Beach,wisata,50000
Pantai Drini,attractions,4.6,"VH6G+RXH, Jl. Drini Tim., Wonosobo, Banjarejo, Kec. Tanjungsari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55881",Tourist attraction,wisata,40000
Pantai Nguyahan,attractions,4.6,"Pantai ngobaran, Gebang, Kanigoro, Kec. Saptosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55871",Tourist attraction,wisata,40000
Pantai baru,attractions,4.6,"Jl. Pantai Baru, Ngentak, Poncosari, Kec. Srandakan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55762",Tourist attraction,wisata,40000
Kalasan Temple,attractions,4.6,"6FMC+3WW, Jl. Raya Yogya - Solo, Suryatmajan, Danurejan, Daerah Istimewa Yogyakarta","Buddhist temple, Historical place, Tourist attraction",wisata,40000
Sambisari Temple,attractions,4.6,"Jl. Candi Sambisari, Sambisari, Purwomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Hindu temple, Historical landmark, Tourist attraction",wisata,40000
Ijo Temple,attractions,4.8,"Jl. Candi Ijo, Kikis, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Hindu temple, Tourist attraction",wisata,40000
Candi Donotirto,attractions,4.5,"6936+QFG, Jl. Jogonegaran, Pringgokusuman, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55272",Tourist attraction,wisata,40000
Sari Temple,attractions,4.5,"Jl. Candisari Jl. Raya Solo - Yogyakarta No.107, Bendan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Buddhist temple, Tourist attraction",wisata,40000
Perwara Temple,attractions,4.5,"Taman Wisata Candi Prambanan, Jl. Raya Solo - Yogyakarta No.KM.16, Kranggan, Bokoharjo, Kec. Prambanan, Yogyakarta, Jawa Tengah 57454","Hindu temple, Historical landmark, Tourist attraction",wisata,40000
Gebang Temple,pura,4.5,"6CX8+CG7, Jl. Gebang Jl. Jetis Raya, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Hindu temple,wisata,50000
Sewu Temple,attractions,4.7,"Jl. Candi Sewu No.16, Bugisan, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 57454","Buddhist temple, Tourist attraction",wisata,40000
Barong Temple,pura,4.6,"6FFW+PWM, Dusun Candisari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Hindu temple,wisata,50000
Kedulan Temple,attractions,4.6,"7F49+XVG, Kedulan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571","Hindu temple, Tourist attraction",wisata,40000
Bubrah Temple,attractions,4.4,"7F3V+C5F, Taman Martani , Kalasan , Sleman , Daerah Istimewa Yogyakarta, Klurakbaru, Tlogo, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454","Buddhist temple, Tourist attraction",wisata,40000
"PT. Taman Wisata Candi Borobudur, Prambanan & Ratu Boko",attractions,4.8,"Jl. Raya Solo - Yogyakarta No.Km.16, Bogem, Tamanmartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Tourist attraction,wisata,40000
Banyunibo Temple,attractions,4.6,"Jl. Prambanan - Gayamharjo, Cepit, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572","Buddhist temple, Historical landmark, Place of worship, Tourist attraction",wisata,40000
Shiva Temple,pura,4.5,"Taman Wisata Candi Prambanan, Jl. Candi Sewu, Kranggan, Bokoharjo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Hindu temple,wisata,50000
Pura Candi Sari Kalongan ꦦꦸꦫꦕꦤ꧀ꦝꦶꦱꦫꦶ,pura,4.8,"6C7G+V56, Kalongan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Hindu temple,wisata,50000
Dawangsari Temple,attractions,4.5,"6FGX+926 Dawang Sari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Jawa Tengah 55572","Buddhist temple, Tourist attraction",wisata,40000
Miri Temple,attractions,4.6,"6GH5+63R, Dawangsari, Dowang Sari, Sambirejo, Kec. Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572",Tourist attraction,wisata,40000
